metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_req_waiting,1788335959,6.864600,,,,true,,POST,05_Checkout,HTTP/1.1,default,,200,,,05_Checkout,,
http_req_receiving,1788335959,0.000000,,,,true,,POST,05_Checkout,HTTP/1.1,default,,200,,,05_Checkout,,
http_req_failed,1788335959,0.000000,,,,true,,POST,05_Checkout,HTTP/1.1,default,,200,,,05_Checkout,,
checks,1788335959,1.000000,Checkout success (200),,,,,,,,default,,,,,,,
checks,1788335959,1.000000,Detect SQLite DB lock / 500 error under high concurrency,,,,,,,,default,,,,,,,
vus,1788335960,1.000000,,,,,,,,,,,,,,,,
vus_max,1788335960,200.000000,,,,,,,,,,,,,,,,
http_reqs,1788335960,1.000000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_duration,1788335960,5.152000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_blocked,1788335960,0.000000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_connecting,1788335960,0.000000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_tls_handshaking,1788335960,0.000000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_sending,1788335960,0.000000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_waiting,1788335960,5.152000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_receiving,1788335960,0.000000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
http_req_failed,1788335960,0.000000,,,,true,,POST,06_CouponUsage,HTTP/1.1,default,,200,,,06_CouponUsage,,
vus,1788335961,1.000000,,,,,,,,,,,,,,,,
vus_max,1788335961,200.000000,,,,,,,,,,,,,,,,
http_reqs,1788335961,1.000000,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_duration,1788335961,2.703500,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
http_req_blocked,1788335961,1.062900,,,,true,,POST,01_Login,HTTP/1.1,default,,200,,,01_Login,,
